"","farmer_ID","treat","clusterID","q13","q14","q16","q17","q19","q54a","q58a","q62a","q69"
"1","F_1","T1",8,"Female",45,"Male","999",4,"1","n/a","1",4
"2","F_100","C",65,"Male",38,"n/a","n/a",5,"2","n/a","1",3
"3","F_1000","T1",62,"Male",52,"n/a","n/a",9,"1.5","0.5","0.5",1
"4","F_1002","T1",62,"Male",53,"n/a","n/a",5,"3","0.5","1",1
"5","F_1004","T1",62,"Male",23,"n/a","n/a",4,"1","0.5","0.5",4
"6","F_1007","T1",62,"Male",57,"n/a","n/a",4,"0.5","n/a","0.5",3
"7","F_1008","T1",62,"Male",26,"n/a","n/a",4,"0.5","0.5","0.25",4
"8","F_101","C",65,"Male",27,"n/a","n/a",3,"1","n/a","2",3
"9","F_1010","T1",62,"Male",70,"n/a","n/a",6,"1","1","1",4
"10","F_1012","T1",62,"Male",31,"n/a","n/a",3,"2","1","1",3
"11","F_1014","T1",62,"Male",77,"n/a","n/a",6,"1","n/a","n/a",3
"12","F_1018","T1",62,"Male",29,"n/a","n/a",4,"1","n/a","0.5",2
"13","F_1019","T1",62,"Male",35,"n/a","n/a",5,"2","1","1",2
"14","F_1020","T1",62,"Male",59,"n/a","n/a",5,"1","0.25","0.5",4
"15","F_1021","T1",62,"Male",27,"n/a","n/a",6,"1","0.5","0.5",4
"16","F_1022","T1",62,"Female",45,"Male","49",7,"2","n/a","n/a",5
"17","F_1024","T2",40,"Male",46,"n/a","n/a",5,"1","0.25","0.5",2
"18","F_1025","T2",40,"Male",29,"n/a","n/a",5,"1.5","0.5","n/a",4
"19","F_1028","T2",40,"Male",27,"Male","81",5,"1.5","0.5","n/a",3
"20","F_1029","T2",40,"Male",71,"n/a","n/a",5,"2","0.5","0.5",4
"21","F_103","C",65,"Male",18,"n/a","n/a",5,"1.5","0.5","1",4
"22","F_1032","T2",40,"Male",32,"n/a","n/a",6,"1","0.5","1.5",2
"23","F_1034","T2",40,"Male",36,"n/a","n/a",5,"1.5","n/a","0.5",3
"24","F_1037","T2",40,"Female",36,"Male","48",4,"2","n/a","1",2
"25","F_1039","T2",40,"Female",40,"Male","48",8,"2","0.5","n/a",4
"26","F_1041","T2",40,"Male",39,"n/a","n/a",4,"1","n/a","n/a",4
"27","F_1042","T2",40,"Female",57,"n/a","n/a",5,"1","n/a","n/a",2
"28","F_1043","T2",40,"Male",52,"n/a","n/a",5,"5.5","n/a","1",1
"29","F_1044","T2",40,"Male",34,"n/a","n/a",3,"n/a","n/a","0.5",4
"30","F_1046","T2",40,"Male",31,"n/a","n/a",4,"0.5","n/a","0.5",4
"31","F_1049","T2",40,"Female",47,"n/a","n/a",4,"1","n/a","n/a",4
"32","F_105","C",65,"Female",52,"n/a","n/a",6,"0.5","n/a","n/a",4
"33","F_1050","T2",40,"Male",44,"n/a","n/a",6,"1","n/a","n/a",5
"34","F_1052","T2",40,"Female",31,"Male","34",5,"1.25","n/a","0.2",3
"35","F_1053","T2",40,"Male",52,"n/a","n/a",7,"1","0.5","n/a",3
"36","F_1054","T2",40,"Female",999,"n/a","n/a",6,"1","n/a","n/a",1
"37","F_1056","T1",45,"Female",48,"n/a","n/a",6,"1","n/a","0.2",4
"38","F_1058","T1",45,"Female",41,"Male","43",8,"3","2","3",2
"39","F_1059","T1",45,"Male",26,"n/a","n/a",3,"0.5","n/a","n/a",1
"40","F_106","C",65,"Female",27,"Male","30",6,"1.5","0.5","0.25",4
"41","F_1060","T1",45,"Female",38,"Male","39",5,"2","n/a","n/a",1
"42","F_1063","T1",45,"Male",74,"n/a","n/a",8,"2","n/a","1",1
"43","F_1064","T1",45,"Female",30,"Male","35",10,"0.5","n/a","n/a",1
"44","F_1065","T1",45,"Female",64,"n/a","n/a",5,"2","n/a","n/a",1
"45","F_1066","T1",45,"Female",38,"Male","39",5,"1","n/a","0.5",2
"46","F_1067","T1",45,"Male",44,"n/a","n/a",6,"1.5","n/a","n/a",1
"47","F_107","C",65,"Female",58,"n/a","n/a",7,"2","1","1",3
"48","F_1071","T1",45,"Female",34,"Male","39",6,"n/a","3.5","n/a",2
"49","F_1075","T1",45,"Male",28,"n/a","n/a",3,"1.5","n/a","n/a",1
"50","F_1078","T1",45,"Male",28,"n/a","n/a",1,"1","n/a","n/a",2
"51","F_1079","T1",45,"Female",30,"Male","31",5,"1","n/a","n/a",2
"52","F_1080","T1",45,"Female",82,"Male","83",5,"1","n/a","n/a",1
"53","F_1081","T1",45,"Female",62,"n/a","n/a",8,"1","n/a","n/a",4
"54","F_1082","T1",45,"Male",83,"n/a","n/a",5,"1","n/a","n/a",1
"55","F_1083","T1",45,"Female",39,"Male","43",9,"1.5","n/a","0.5",1
"56","F_1087","T1",25,"Female",50,"Male","54",5,"2","0.5","n/a",1
"57","F_1089","T1",25,"Female",38,"Male","45",4,"1","n/a","n/a",1
"58","F_109","C",65,"Male",26,"n/a","n/a",3,"1","0.5","1",2
"59","F_1090","T1",25,"Male",37,"n/a","n/a",5,"1","0.5","n/a",1
"60","F_1092","T1",25,"Female",71,"n/a","n/a",2,"0.5","n/a","0.25",4
"61","F_1093","T1",25,"Female",39,"Male","50",5,"1.5","n/a","1",1
"62","F_1094","T1",25,"Male",26,"n/a","n/a",8,"1","0.5","0.5",1
"63","F_1095","T1",25,"Female",50,"n/a","n/a",3,"2","2","n/a",3
"64","F_1096","T1",25,"Female",39,"n/a","n/a",5,"1.5","0.5","n/a",4
"65","F_1097","T1",25,"Male",40,"n/a","n/a",4,"1","n/a","n/a",1
"66","F_1098","T1",25,"Male",57,"n/a","n/a",4,"3","0.5","n/a",1
"67","F_1099","T1",25,"Female",40,"Male","47",7,"1","n/a","n/a",3
"68","F_11","T1",8,"Male",38,"n/a","n/a",6,"2","2","1",3
"69","F_1100","T1",25,"Male",68,"n/a","n/a",2,"0.5","0.5","n/a",1
"70","F_1106","T1",25,"Female",26,"Male","34",5,"2","1","2",1
"71","F_1109","T1",25,"Female",56,"n/a","n/a",4,"2.5","n/a","n/a",1
"72","F_111","C",65,"Male",67,"n/a","n/a",6,"1","1","1",5
"73","F_1110","T1",25,"Male",48,"n/a","n/a",9,"5","n/a","n/a",1
"74","F_1111","T1",25,"Female",71,"n/a","n/a",5,"1","n/a","n/a",1
"75","F_1112","T1",25,"Female",42,"Male","47",7,"0.5","1","0.5",1
"76","F_1113","T1",25,"Female",64,"n/a","n/a",5,"2","n/a","0.5",4
"77","F_1117","C",71,"Female",22,"Male","26",4,"5","2","0.5",1
"78","F_1119","C",71,"Female",20,"Male","22",3,"1","0.25","0.25",3
"79","F_1120","C",71,"Female",44,"n/a","n/a",7,"1","0.5","n/a",4
"80","F_1121","C",71,"Female",27,"Male","34",5,"1","1.5","n/a",1
"81","F_1122","C",71,"Male",39,"n/a","n/a",5,"1.5","1","n/a",3
"82","F_1123","C",71,"Female",50,"Female","52",6,"1","n/a","1",3
"83","F_1125","C",71,"Male",26,"n/a","n/a",4,"2","1","1",1
"84","F_1126","C",71,"Female",60,"Male","72",8,"3","1","2",1
"85","F_1127","C",71,"Male",60,"n/a","n/a",3,"2","2","2",1
"86","F_1129","C",71,"Male",25,"n/a","n/a",3,"1","1","2",1
"87","F_113","C",65,"Male",44,"n/a","n/a",11,"1","0.5","1",4
"88","F_1130","C",71,"Male",38,"n/a","n/a",6,"2","1","1",1
"89","F_1132","C",71,"Female",36,"Male","46",7,"0.5","0.5","n/a",3
"90","F_1134","C",71,"Male",25,"n/a","n/a",3,"1","0.5","n/a",1
"91","F_1135","C",71,"Male",25,"n/a","n/a",3,"2","n/a","0.3",1
"92","F_1136","C",71,"Male",45,"n/a","n/a",3,"4","1","n/a",3
"93","F_1141","C",71,"Male",24,"n/a","n/a",4,"2","1","n/a",1
"94","F_1142","C",71,"Female",42,"Male","45",8,"2","0.5","n/a",1
"95","F_1145","C",71,"Female",23,"Male","24",3,"2","n/a","1",1
"96","F_1149","T1",97,"Male",61,"n/a","n/a",4,"3","2","5",2
"97","F_1152","T1",97,"Female",40,"Male","999",6,"1","n/a","n/a",5
"98","F_1153","T1",97,"Male",60,"Male","60",9,"5","n/a","1",2
"99","F_1154","T1",97,"Male",61,"n/a","n/a",7,"100","n/a","1",4
"100","F_1155","T1",97,"Female",58,"n/a","n/a",5,"0.5","n/a","n/a",3
"101","F_1157","T1",97,"Male",59,"n/a","n/a",4,"2","n/a","n/a",4
"102","F_1158","T1",97,"Male",45,"n/a","n/a",6,"2","0.25","1",1
"103","F_1159","T1",97,"Male",47,"n/a","n/a",5,"2","n/a","1",1
"104","F_1161","T1",97,"Male",18,"n/a","n/a",6,"n/a","n/a","1",5
"105","F_1165","T1",97,"Female",51,"Male","70",4,"0.5","0.5","1",4
"106","F_1166","T1",97,"Male",46,"n/a","n/a",5,"0.5","n/a","1",4
"107","F_1169","T1",97,"Male",52,"n/a","n/a",7,"2","n/a","0.5",3
"108","F_117","C",65,"Male",26,"n/a","n/a",3,"1","n/a","n/a",3
"109","F_1170","T1",97,"Female",58,"n/a","n/a",5,"2","n/a","2",2
"110","F_1172","T1",97,"Female",25,"Male","27",4,"0.5","n/a","1",5
"111","F_1173","T1",97,"Female",35,"Male","39",6,"2","0.25","2",3
"112","F_1174","T1",97,"Female",68,"n/a","n/a",1,"1","1","0.5",5
"113","F_1175","T1",97,"Female",57,"Male","60",3,"1","1","1",4
"114","F_1176","T1",97,"Female",24,"Male","26",4,"4.5","n/a","3.5",1
