"farmer_id","treat","main_crp","total_qty_fert","plot_siz","maize_area","qty_used","ferti1","ferti2","ferti3","ferti4"
"F_546","T2","TOBACCO",150250,3,NA,0.01,"UREA","NPK23:10:5","",""
"F_387","T1","TOBACCO",100200,2.5,NA,0.006,"NPK8:18:15","NPK23:10:5","UREA",""
"F_1211","C","TOBACCO",1950,7,NA,0.016,"CAN","","",""
"F_2104","T1","MAIZE",1070,6,4.5,45,"NPK23:10:5","UREA","",""
"F_736","T1","MAIZE",999,0.5,0.47499999,10,"UREA","","",""
"F_3150","T1","TOBACCO",900,5,NA,0.016,"NPK8:18:15","UREA","",""
"F_136","T2","MAIZE",800,4,3.2,50,"NPK23:10:5","UREA","",""
"F_1332","C","TOBACCO",800,2,NA,0.004,"","CAN","",""
"F_1323","C","TOBACCO",800,3,NA,0.002,"Other","","",""
"F_2406","T2","TOBACCO",650,2.5,NA,0.008,"NPK8:18:15","UREA","CAN",""
"F_1008","T1","TOBACCO",600,2,NA,0.008,"UREA","CAN","NPK8:18:15","Other"
"F_3124","T1","MAIZE",600,6.5,5.1999998,20,"NPK23:10:5","UREA","",""
"F_637","T2","MAIZE",600,3,3,30,"NPK23:10:5","UREA","",""
"F_2618","C","MAIZE",600,2,2,20,"UREA","NPK23:10:5","",""
"F_1866","T1","TOBACCO",550,3.5,NA,0.003,"NPK8:18:15","CAN","UREA",""
"F_3394","C","MAIZE",550,3,2.25,10,"NPK23:10:5","UREA","",""
"F_3208","T1","TOBACCO",500,2.5,NA,0.005,"CAN","Other","",""
"F_1565","T1","MAIZE",500,5,5,50,"","UREA","",""
"F_1927","C","MAIZE",500,2.5,2.5,15,"NPK23:10:5","UREA","",""
"F_3158","T1","TOBACCO",450,2,NA,0.004,"UREA","NPK8:18:15","",""
"F_551","T2","TOBACCO",450,2,NA,0.005,"CAN","","",""
"F_1825","T2","MAIZE",400,2,2,20,"NPK23:10:5","UREA","CAN",""
"F_2734","T2","MAIZE",400,4,4,20,"NPK23:10:5","UREA","",""
"F_2494","T1","MAIZE",400,4,0.40000001,40,"NPK23:10:5","UREA","",""
"F_3175","T2","TOBACCO",400,3,NA,0.005,"NPK8:18:15","NPK23:10:5","UREA",""
