"farmer_id","treat","bags_Mcrp","prc_main","value_med","cost_total","profit_med","plot_siz","maize_area"
"F_89","C",12500,NA,9375000,1410000,7965000,8,8
"F_295","T1",10000,1000,7500000,90000,7410000,1.5,1.5
"F_309","T1",9000,NA,6750000,522000,6228000,5,3.75
"F_138","T2",9000,NA,6750000,968000,5782000,3,3
"F_823","T1",7200,NA,5400000,569000,4831000,2,2
"F_565","T2",4500,550,3375000,75000,3300000,2.5,2.5
"F_2734","T2",6860,NA,5145000,1903589.6,3241410.4,4,4
"F_2122","T2",4500,NA,3375000,146180,3228820,2,2
"F_2104","T1",7000,NA,5250000,2115400,3134600,6,4.5
"F_1245","C",5000,NA,3750000,730000,3020000,3,2.97000002861023
"F_3131","T1",5000,NA,3750000,827000,2923000,3,2.09999990463257
"F_960","C",5000,NA,3750000,880000,2870000,2,2
"F_3182","T2",3750,NA,2812500,110570,2701930,1.5,1.5
"F_426","C",3600,NA,2700000,125000,2575000,4,2
"F_3516","T2",3500,NA,2625000,54500,2570500,3.5,2.625
"F_164","C",4000,NA,3e+06,490000,2510000,2.5,2.5
"F_3281","T2",4200,600,3150000,682000,2468000,2.5,2.5
"F_1913","C",4200,NA,3150000,711000,2439000,4,3.20000004768372
"F_2277","T2",3500,NA,2625000,244180,2380820,2,2
"F_1363","T2",3500,NA,2625000,295000,2330000,5,3.5
"F_1527","T2",3250,NA,2437500,178166.666666667,2259333.33333333,1,1
"F_549","T2",3000,NA,2250000,15000,2235000,2,2
"F_1555","T1",3250,NA,2437500,213750,2223750,1,0.800000011920929
"F_3336","T2",3600,NA,2700000,483000,2217000,2.5,2.47499990463257
"F_2292","T2",3000,NA,2250000,41180,2208820,2,2
