"sample","label","outcome","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"All sampled main crops","Value of production","value_production",1812,113,837501.672862454,1049853.80542077,1142605.7579663,0.360162111879469,-107462.081601617,205165.775429477,0.601465297050777,0.352126458207002
"All sampled main crops","Total costs","cost_total",1812,113,236315.397769517,5922.11347545603,26378.9519013733,0.822776180044247,76618.1854108461,22592.8715440746,0.000961994304300704,6.45003845627057e-05
"All sampled main crops","Profits","profits",1812,113,601186.275092937,1043931.69194532,1138744.29361617,0.361249022531915,-184080.267012463,200420.256268951,0.360345902907683,0.322296057572389
"All sampled main crops","Value per acre","value_per_acre_all",1812,113,512805.928915912,834094.518871568,871613.276369666,0.340651154743712,-51985.7353430972,140599.847025779,0.712272578887106,0.351577419469402
"All sampled main crops","Costs per acre","cost_per_acre_all",1812,113,147677.534427381,799.700381840927,12265.9187742483,0.948133426296307,65672.7469982224,12567.3407214103,8.11684344809272e-07,5.99682853045277e-10
"All sampled main crops","Profits per acre","profit_per_acre_all",1812,113,365128.394488531,833294.818489728,870038.708796174,0.340242908213185,-117658.48234132,137972.845491647,0.395609324326921,0.316817009407671
"Maize main crop","Value of production","value_production",1581,113,607526.966292135,-33815.1017717429,52433.1220995469,0.52029870349218,135081.780523706,54910.3236761039,0.0154200080264476,0.0035612438633014
"Maize main crop","Total costs","cost_total",1581,113,222430.831460674,11903.1165482194,26027.9669082369,0.648326725276267,80228.1200036846,25433.9415845908,0.00206541639892055,4.11320466068202e-05
"Maize main crop","Profits","profits",1581,113,385096.134831461,-45718.2183199625,43654.7523182048,0.297230873481441,54853.6605200214,48743.7432820361,0.262847497701279,0.0668173091333599
"Maize main crop","Value per acre","value_per_acre_maize",1581,113,467926.597129378,-37532.45333337,68723.9153863239,0.586060204033211,262439.724135651,132485.948782879,0.0500551034495275,0.0827589743041073
"Maize main crop","Costs per acre","cost_per_acre_maize",1581,113,186298.885719296,14629.963734984,38090.9033192357,0.701647181647502,125720.821960581,44550.7651183081,0.00564879033794784,0.00186970021766556
"Maize main crop","Profits per acre","profit_per_acre_maize",1581,113,281627.711410082,-52162.4170683549,57866.1198630646,0.369292642181569,136718.902175068,115999.723787027,0.241049848900806,0.225141724052985
