"main_crp","n","production_nonmissing","price_imputed","value_nonmissing","sellers","median_price","mean_price","min_price","max_price"
"BEANS",3,3,3,3,1,4000,4000,4000,4000
"CASSAVA",3,3,3,3,2,2499.5,2499.5,999,4000
"GROUNDNUTS",51,51,51,51,23,2600,14863,750,270000
"IRISH_POTATO",1,1,1,1,1,400,400,400,400
"MAIZE",1626,1626,1626,1626,172,750,11820.023255814,450,455000
"ONION",1,1,1,1,1,9e+05,9e+05,9e+05,9e+05
"SOYABEAN",71,71,71,71,58,2000,109793.275862069,550,1500000
"SUNFLOWER",3,3,3,3,1,550,550,550,550
"SWEET_POTATO",12,12,12,12,7,999,20028.4285714286,300,58000
"TOBACCO",98,98,98,98,57,3000,299019.298245614,660,1e+07
