"outcome","outcome_label","controls","n","clusters","t1_mean","t2_mean","t2_minus_t1","t2_minus_t1_se","t2_minus_t1_p"
"any_recommended_product_applied","Any recommended product applied","No",1223,79,0.536423841059603,0.72859450726979,0.192170666210191,0.0358945607825404,8.42047684860303e-07
"any_recommended_product_applied","Any recommended product applied","Yes",1161,79,0.569642857142857,0.733777038269551,0.164994735347398,0.0372674620145621,3.0660907301655e-05
"share_recommended_products_applied","Share of recommended products applied","No",1223,79,0.327014348785872,0.429159935379645,0.102145586593772,0.0288593935784509,0.000679536408434203
"share_recommended_products_applied","Share of recommended products applied","Yes",1161,79,0.34735119047619,0.432029950083195,0.0890970252553701,0.0295141541454672,0.00342817089580986
"all_recommended_products_applied","All recommended products applied","No",1223,79,0.125827814569536,0.143780290791599,0.0179524762220629,0.0395680149801474,0.651296116023354
"all_recommended_products_applied","All recommended products applied","Yes",1161,79,0.133928571428571,0.144758735440932,0.0206161448925133,0.0366134424175333,0.574998285473637
"exact_recommended_product_bundle","Exact recommended product bundle applied","No",1223,79,0.0364238410596026,0.0161550888529887,-0.0202687522066138,0.00894748626193924,0.0262685017803751
"exact_recommended_product_bundle","Exact recommended product bundle applied","Yes",1161,79,0.0392857142857143,0.0166389351081531,-0.0171675923332192,0.00932890827098604,0.0695341082590378
"applied_if_rec_npk23105","Recommended NPK 23:10:5 applied","No",987,79,0.60446247464503,0.888663967611336,0.284201492966302,0.0306572277796018,3.22922502888158e-14
"applied_if_rec_npk23105","Recommended NPK 23:10:5 applied","Yes",937,79,0.638344226579521,0.897489539748954,0.271269967704361,0.0337244577001592,7.74336096793206e-12
"applied_if_rec_urea","Recommended urea applied","No",96,45,0.652173913043478,0.94,0.287826086956522,0.0881005824184474,0.00211120276790431
"applied_if_rec_urea","Recommended urea applied","Yes",95,44,0.666666666666667,0.94,0.266067479974325,0.0979626746512604,0.00947790968486179
"applied_if_rec_can","Recommended CAN applied","No",101,34,0.238095238095238,0.11864406779661,-0.119451170298628,0.0792033983500108,0.141029412892533
"applied_if_rec_can","Recommended CAN applied","Yes",96,31,0.256410256410256,0.12280701754386,-0.0507965337109264,0.0745925194985305,0.501102692444394
"applied_if_rec_npk141420","Recommended NPK 14:14:20 applied","No",113,35,0.0434782608695652,0,-0.0434782608695664,0.0301864583305547,0.158921583337733
"applied_if_rec_npk141420","Recommended NPK 14:14:20 applied","Yes",107,32,0.0476190476190476,0,-0.039630462247656,0.027492472032918,0.159469205290838
"applied_if_rec_npk81815","Recommended NPK 8:18:15 applied","No",122,44,0.015625,0.0172413793103448,0.00161637931034482,0.0216247728863756,0.940762951318725
"applied_if_rec_npk81815","Recommended NPK 8:18:15 applied","Yes",116,44,0.0172413793103448,0.0172413793103448,-0.00283705451852668,0.03079040500626,0.927014062843025
"applied_if_rec_potassium_product","Recommended potassium product applied","No",963,79,0.0193548387096774,0,-0.0193548387096777,0.00872063519739423,0.0293627509763259
"applied_if_rec_potassium_product","Recommended potassium product applied","Yes",914,79,0.0209302325581395,0,-0.0209777413456615,0.00938548908906495,0.0282698236395241
"applied_if_rec_lime","Recommended lime applied","No",142,53,0,0,0,0,NA
"applied_if_rec_lime","Recommended lime applied","Yes",138,53,0,0,0,0,NA
"applied_if_rec_map","Recommended MAP applied","No",52,20,0,0,0,0,NA
"applied_if_rec_map","Recommended MAP applied","Yes",49,19,0,0,0,0,NA
