"panel","sample","uses_controls","n","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"Panel A: Binary AIP receipt indicator","All crops","No",1869,0.186714542190305,0.0129709924008877,0.0277236664396387,0.640788747751502,-0.0772470865690032,0.0250508453598315,0.00257554784215755,0.00148553683104097
"Panel A: Binary AIP receipt indicator","All crops","Yes",1831,0.186346863468635,0.0125202583389275,0.0261587292206592,0.633137478703745,-0.0744039447062651,0.0245132678925275,0.00298887180529904,0.00206055887480801
"Panel A: Binary AIP receipt indicator","Maize only","No",1626,0.192139737991266,-0.00394785607245255,0.0305892111264813,0.897541331294149,-0.0835135399082017,0.0261308492212808,0.00181108846097904,0.00726840314972273
"Panel A: Binary AIP receipt indicator","Maize only","Yes",1595,0.194630872483221,-0.00973614776799277,0.0295467714851426,0.742380802817011,-0.0817806787292224,0.0263435944939633,0.00241481709295147,0.0148500094237042
"Panel B: AIP fertilizer applied on the test plot (kg)","All crops","No",1953,9.59301183756345,-1.09730812645223,1.48989199576811,0.462965256063247,-7.00392887249805,1.24911102950343,1.49962649981917e-07,5.43204634458502e-06
"Panel B: AIP fertilizer applied on the test plot (kg)","All crops","Yes",1831,10.4141512841328,-1.40208828779356,1.60372500481205,0.383842196568264,-7.36060193755721,1.37041117873794,4.29556985500365e-07,2.84639563750612e-05
"Panel B: AIP fertilizer applied on the test plot (kg)","Maize only","No",1626,11.6691484628821,-1.18095657173849,1.9119248539585,0.538040591374933,-8.8277746657577,1.53793830025842,8.20953748029793e-08,2.02816461209512e-06
"Panel B: AIP fertilizer applied on the test plot (kg)","Maize only","Yes",1595,11.9003803042506,-1.46828840010002,1.93530255612712,0.449633625374248,-8.68749988839838,1.62648079519973,4.89770354868485e-07,1.41222214204693e-05
"Panel C: AIP fertilizer applied on the random plot (kg)","All crops","No",1305,1.8979057591623,0.89194931330148,0.972850958467719,0.361196153095023,0.208184614118638,1.09016049499714,0.848897237994105,0.517870472349692
"Panel C: AIP fertilizer applied on the random plot (kg)","All crops","Yes",1281,1.9489247311828,1.05085208559506,1.01305786571507,0.301827125413469,0.151844496631153,1.1397336123747,0.894252103692826,0.417467907811232
"Panel C: AIP fertilizer applied on the random plot (kg)","Maize only","No",144,6.89655172413793,-3.89655172413794,4.41008741511664,0.379837469734043,0.186781609195399,5.15339165725483,0.971186409368719,0.216199043364212
"Panel C: AIP fertilizer applied on the random plot (kg)","Maize only","Yes",144,6.89655172413793,-2.8614873839941,4.73363374671448,0.547384765461182,0.859832706477983,5.80026074349636,0.882561803767397,0.358760648964817
"Panel D: Two-plot AIP fertilizer total (kg)","All crops","No",1953,10.8197461861252,-0.687005437976659,1.59753484482935,0.667992137773215,-6.67025565191844,1.42626642480855,8.19735095806137e-06,2.43425193313247e-05
"Panel D: Two-plot AIP fertilizer total (kg)","All crops","Yes",1831,11.7517896605166,-0.750683533199166,1.74596748179216,0.668056116775156,-7.03112020999402,1.52885715167955,1.12373957288995e-05,6.96937900866434e-05
"Panel D: Two-plot AIP fertilizer total (kg)","Maize only","No",1626,12.1058296855895,-1.40546067267458,1.95128575076674,0.472856767269501,-8.58554215044573,1.57905685686634,3.20758149061185e-07,1.48477852734427e-05
"Panel D: Two-plot AIP fertilizer total (kg)","Maize only","Yes",1595,12.3478075973154,-1.73657433755968,1.97401461152478,0.380896252342609,-8.47886449228736,1.64844198325772,1.15768911768572e-06,6.26526200426011e-05
