product,variable,N_with_recommendation,mean_kgha_recommended,median_kgha_recommended
NPK_23105_basal,TR_PLANTINGNPK231056S1Zn,989,255.17,280
NPK_81815_basal_alt,TR_PLANTINGNPK818156S01B,122,292.95,220
NPK_152316_basal_alt,TR_PLANTINGNPK1523166S05Zn0,1,190,190
NPK_141420_basal_alt,TR_PLANTINGNPK1414204S2M,114,500.88,510
CAN_topdress,TR_TOPDRESSCalciumAmmoniumNitra,102,85,70
Urea_topdress,TR_TOPDRESSUrea,96,28.85,30
MOP_topdress,TR_TOPDRESSMOP,758,49.97,50
SOP_topdress,TR_TOPDRESSSOP,93,93.23,110
Potassium_sulphate,TR_TOPDRESSPotassiumSulphate,114,217.54,210
Lime_calcitic,TR_SOILCORRECTIONCALCITICLIME,126,963.49,600
Lime_dolomitic,TR_SOILCORRECTIONDOLOMITICLIME,140,945.71,650
MAP,TR_SOILCORRECTIONMAPTECHNICALG,53,224.34,220
