"sample","uses_controls","outcome","n","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"All crops","No","rnd_any_fert",1302,0.329842931937173,0.00187619639212578,0.0514846671635801,0.970994919150686,-0.0221506242448641,0.0510036215903347,0.664909666183701,0.644575540559251
"All crops","Yes","rnd_any_fert",1278,0.325268817204301,0.00434124576579935,0.0480190780445643,0.928125527054577,-0.0136118980928666,0.0479835883310924,0.77718072981157,0.701465447419649
"Maize only","No","rnd_any_fert",144,0.827586206896552,0.0269592476489022,0.0748782086832617,0.719855832658386,0.00574712643678135,0.0814469892679525,0.94393868139739,0.747365964465663
"Maize only","Yes","rnd_any_fert",144,0.827586206896552,-0.0270882352559954,0.089235990715647,0.762328689170869,0.00634547457676668,0.0864391410519808,0.941680847359026,0.664940042413984
"All crops","No","rnd_total_fert",1302,45.3848167539267,-12.3544777708759,8.03326507060859,0.126889864275524,-10.9558226710867,8.30314283870398,0.189699991091049,0.828940153021678
"All crops","Yes","rnd_total_fert",1278,44.991935483871,-11.4346884606775,7.81010439537187,0.145970776001265,-9.68406426501787,8.18711625362272,0.239376651875042,0.778385208489041
"Maize only","No","rnd_total_fert",144,78.5172413793103,-11.2536050156741,15.7485633002385,0.47714765917912,-5.71724137931041,17.7416328059121,0.748184363356862,0.632368008943198
"Maize only","Yes","rnd_total_fert",144,78.5172413793103,-24.2388090179085,14.9502242399534,0.109264887960871,1.41033674753575,15.932948780563,0.929708165309268,0.0769826372719978
"All crops","No","rnd_fert_per_acre",1301,32.6168603924509,-3.02379801495754,5.75266758165406,0.600181642529793,-2.95541729905516,5.6531517761574,0.602152313406502,0.990378089780753
"All crops","Yes","rnd_fert_per_acre",1278,32.1963005632361,-2.13850838808639,5.52720704759484,0.69956011904201,-1.83046044938664,5.69971212981625,0.748695511624643,0.953087668900461
"Maize only","No","rnd_fert_per_acre",144,66.4885057471264,0.708463949843216,9.32093018608102,0.939620768787461,-3.67034335396409,10.1315740926865,0.718198553972586,0.639698667732692
"Maize only","Yes","rnd_fert_per_acre",144,66.4885057471264,-2.00117397054608,10.3159413897131,0.846723688749928,0.775677537714189,11.3557484473964,0.945727976737907,0.7906283762414
"All crops","No","rnd_total_fert_scaled",1302,78.0549738219895,-21.2159181319168,15.6456492095832,0.177818338513111,-18.8754866425025,16.6833434974185,0.260304709111433,0.870824677458907
"All crops","Yes","rnd_total_fert_scaled",1278,78.2715053763441,-21.3099692263769,15.2605046337107,0.165351467720085,-18.6768404859663,15.6583440682014,0.235479325163088,0.845187025987929
"Maize only","No","rnd_total_fert_scaled",144,116.793103448276,-11.9476489028215,31.979599314314,0.709783114085442,13.1735632183905,38.7865022912155,0.735100660149698,0.359639236074185
"Maize only","Yes","rnd_total_fert_scaled",144,116.793103448276,-23.1971943092021,30.1975162621024,0.444856870544331,25.9848187600847,38.9712375993755,0.507021624803853,0.120306664096386
